Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopZScore
4951,-1.47,-3016.47,-150.8235,0.58111,-0.45453,-1.46633,0,44.24,20,0.2,4.9
5052,-1.47,-3016.47,-150.8235,0.58111,-0.45453,-1.46633,0,44.24,20,0.2,5
5153,-0.52,-2996.3,-249.69167,0.70311,-0.46157,-0.51556,0,42.26,12,0.2,5.1
5254,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0.2,5.2
5355,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0.2,5.3
5456,-4.12,-8016.87,-421.94053,0.42884,-0.84558,-4.11596,0,61.5,19,0.2,5.4
5557,-1.88,-5594.01,-372.934,0.48129,-0.75731,-1.87752,0,45.44,15,0.2,5.5
5658,-1.91,-5635.96,-375.73067,0.4865,-0.75305,-1.91029,0,45.88,15,0.2,5.6
5759,-1.91,-5635.96,-375.73067,0.4865,-0.75305,-1.91029,0,45.88,15,0.2,5.7
5860,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.2,5.8
5961,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.2,5.9
6062,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.2,6
6163,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.2,6.1
6264,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.2,6.2
6365,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.2,6.3
